TOA5	Tower3	CR1000	67786	CR1000.Std.27.04	CPU:106330-3.CR1	38136	ThreeHr
TIMESTAMP	RECORD	TotPrec					
TS	RN						
		Tot					
5/21/15 18:00	728	0					
5/21/15 21:00	729	0.625					
40684	730	0					
5/22/15 3:00	731	0					
5/22/15 6:00	732	0					
5/22/15 9:00	733	0					
5/22/15 12:00	734	0					
5/22/15 15:00	735	0					
5/22/15 18:00	736	0					
5/22/15 21:00	737	0					
40685	738	0					
5/23/15 3:00	739	0					
5/23/15 6:00	740	0					
5/23/15 9:00	741	0					
5/23/15 12:00	742	0					
5/23/15 15:00	743	0					
5/23/15 18:00	744	0					
5/23/15 21:00	745	0					
40686	746	0					
5/24/15 3:00	747	0					
5/24/15 6:00	748	0					
5/24/15 9:00	749	0					
5/24/15 12:00	750	0					
5/24/15 15:00	751	0					
5/24/15 18:00	752	0					
5/24/15 21:00	753	0					
40687	754	0					
5/25/15 3:00	755	0					
5/25/15 6:00	756	0					
5/25/15 9:00	757	0					
5/25/15 12:00	758	0					
5/25/15 15:00	759	0					
5/25/15 18:00	760	0					
5/25/15 21:00	761	0					
40688	762	0					
5/26/15 3:00	763	0					
5/26/15 6:00	764	0					
5/26/15 9:00	765	0					
5/26/15 12:00	766	0					
5/26/15 15:00	767	0					
5/26/15 18:00	768	0					
5/26/15 21:00	769	0					
40689	770	0					
5/27/15 3:00	771	0					
5/27/15 6:00	772	0					
5/27/15 9:00	773	0					
5/27/15 12:00	774	0					
5/27/15 15:00	775	0					
5/27/15 18:00	776	0					
5/27/15 21:00	777	0					
40690	778	0					
5/28/15 3:00	779	0					
5/28/15 6:00	780	0					
5/28/15 9:00	781	0					
5/28/15 12:00	782	0					
5/28/15 15:00	783	0					
5/28/15 18:00	784	0					
5/28/15 21:00	785	0					
40691	786	0					
5/29/15 3:00	787	0					
5/29/15 6:00	788	0					
5/29/15 9:00	789	0					
5/29/15 12:00	790	0					
5/29/15 15:00	791	0					
5/29/15 18:00	792	0					
5/29/15 21:00	793	0					
40692	794	0					
5/30/15 3:00	795	0					
5/30/15 6:00	796	0					
5/30/15 9:00	797	0					
5/30/15 12:00	798	0					
5/30/15 15:00	799	0					
5/30/15 18:00	800	0					
